dataset_id,language_code,languages_in_dataset,linguality,license,modalities,tasks,provenance,synthetic_flag,arxiv_ids,doi_ids,num_rows,matched_configurations,all_configurations,all_configurations_count,manual_review
Samuelcr8/Eva,aa,aa,monolingual,afl-3.0,modality_unstated,question-answering,unclear,False,,,,,,,
jiaheillu/sovits_audio_preview,aa,aa,monolingual,openrail,audio;image,,unclear,False,,,,,,,
Olocrisam/prueba,aa,aa,monolingual,openrail,modality_unstated,text-classification,unclear,False,,10.57967/hf/0596,,,,,
san5167/new-user-data,aa,aa,monolingual,bigcode-openrail-m,modality_unstated,,unclear,False,,,,,,,
linxxx3/test-model,aa,aa,monolingual,license_unstated,modality_unstated,text-classification,unclear,False,,,,,,,
manmanmmm/810,aa,aa,monolingual,license_unstated,modality_unstated,,unclear,False,,,,,,,
NamProlah/bloomsage,aa,aa,monolingual,mit,modality_unstated,,unclear,False,,,,,,,
VPixel/dataset-no-1,aa,aa,monolingual,mit,modality_unstated,translation,unclear,False,,,,,,,
moralesid/RENNY,aa,aa,monolingual,afl-3.0,audio,,unclear,False,,,,,,,
ANDRIZZBIRCH/arianagrandesweetner,aa,aa,monolingual,apache-2.0,modality_unstated,text-classification,unclear,False,,,,,,,
jasonw1912/test-jason,aa,aa,monolingual,bsl-1.0,modality_unstated,text-classification,unclear,False,,,,,,,
ximso/jflsajonond,aa,aa,monolingual,apache-2.0,modality_unstated,text-classification,unclear,False,,,,,,,
Samvet21/Woop,aa,aa,monolingual,apache-2.0,modality_unstated,text-classification,unclear,False,,,,,,,
restufiqih/Test_Dataset,aa,aa,monolingual,mit,modality_unstated,translation,unclear,False,,,,,,,
kingyq/novel,aa,aa,monolingual,apache-2.0,modality_unstated,text-classification,unclear,False,,,,,,,
Poozer/ETM,aa,aa,monolingual,lgpl-3.0,modality_unstated,,unclear,False,,,,,,,
jovanhuang/testapp,aa,aa,monolingual,apache-2.0,modality_unstated,text-classification,unclear,False,,,,,,,
wj00037/aaa,aa,aa,monolingual,mit,modality_unstated,,unclear,False,,,,,,,
Dashon/test,aa,aa,monolingual,mit,modality_unstated,token-classification,unclear,False,,,,,,,
Charif-Ayfarah/Afar-language-speech-transcription,aa,aa,monolingual,cc-by-4.0,audio;text,,unclear,False,,,,,,,
haggs/test,aa,aa,monolingual,apache-2.0,modality_unstated,token-classification,unclear,False,,,,,,,
