dataset_id,resolved,native_or_converted,main_branch_extensions
openbmb/UltraX-Preview,True,native,.gitattributes;.md;.parquet
FlyRank/internship-warehouse,True,native,.gitattributes;.md;.parquet
markov-ai/gaming-500-hours,True,auto_converted,.gitattributes;.json;.jsonl;.md;.mp4
LiquidAI/antidoom-mix-v1.0,True,auto_converted,.gitattributes;.jsonl;.md
AlicanKiraz0/Turkce-Atlas-Instruct,True,auto_converted,.gitattributes;.jsonl;.md
Glint-Research/Fable-5-traces,True,auto_converted,.gitattributes;.jsonl;.md;.png;.txt
sensenova/SenseNova-Vision-Corpus-50M,True,native,.gitattributes;.gz000;.gz001;.gz002;.gz003;.gz004;.gz005;.gz006;.gz007;.gz008;.gz009;.gz010;.gz011;.gz012;.gz013;.gz014;.gz015;.gz016;.gz017;.gz018;.gz019;.gz020;.gz021;.gz022;.gz023;.gz024;.gz025;.gz026;.gz027;.gz028;.gz029;.gz030;.gz031;.gz032;.gz033;.gz034;.gz035;.gz036;.gz037;.gz038;.gz039;.gz040;.gz041;.gz042;.gz043;.gz044;.gz045;.gz046;.gz047;.gz048;.gz049;.gz050;.gz051;.gz052;.gz053;.gz054;.gz055;.gz056;.gz057;.gz058;.gz059;.gz060;.gz061;.gz062;.gz063;.gz064;.gz065;.gz066;.gz067;.gz068;.gz069;.gz070;.gz071;.gz072;.gz073;.gz074;.gz075;.gz076;.gz077;.gz078;.gz079;.gz080;.gz081;.gz082;.gz083;.gz084;.gz085;.gz086;.gz087;.gz088;.gz089;.gz090;.gz091;.gz092;.gz093;.gz094;.gz095;.gz096;.gz097;.gz098;.gz099;.gz100;.gz101;.gz102;.gz103;.gz104;.gz105;.gz106;.gz107;.gz108;.gz109;.gz110;.gz111;.gz112;.gz113;.gz114;.gz115;.gz116;.gz117;.gz118;.gz119;.gz120;.gz121;.gz122;.gz123;.gz124;.gz125;.gz126;.gz127;.gz128;.gz129;.gz130;.gz131;.gz132;.gz133;.gz134;.gz135;.gz136;.gz137;.gz138;.gz139;.gz140;.gz141;.gz142;.gz143;.gz144;.gz145;.gz146;.gz147;.gz148;.gz149;.gz150;.gz151;.gz152;.gz153;.gz154;.gz155;.gz156;.gz157;.gz158;.gz159;.gz160;.gz161;.gz162;.gz163;.gz164;.gz165;.gz166;.gz167;.gz168;.gz169;.gz170;.gz171;.gz172;.gz173;.gz174;.gz175;.gz176;.gz177;.gz178;.gz179;.gz180;.gz181;.gz182;.gz183;.gz184;.gz185;.gz186;.gz187;.gz188;.gz189;.gz190;.gz191;.gz192;.gz193;.gz194;.gz195;.gz196;.gz197;.gz198;.gz199;.gz200;.gz201;.gz202;.gz203;.gz204;.gz205;.gz206;.gz207;.gz208;.gz209;.gz210;.gz211;.gz212;.gz213;.gz214;.gz215;.gz216;.gz217;.gz218;.gz219;.gz220;.gz221;.gz222;.gz223;.gz224;.gz225;.gz226;.gz227;.gz228;.gz229;.gz230;.gz231;.gz232;.gz233;.gz234;.gz235;.gz236;.gz237;.gz238;.gz239;.gz240;.gz241;.gz242;.gz243;.gz244;.gz245;.gz246;.gz247;.gz248;.gz249;.gz250;.gz251;.gz252;.gz253;.gz254;.gz255;.gz256;.gz257;.gz258;.gz259;.gz260;.gz261;.gz262;.gz263;.gz264;.gz265;.gz266;.gz267;.gz268;.gz269;.gz270;.gz271;.gz272;.gz273;.gz274;.gz275;.gz276;.gz277;.gz278;.gz279;.gz280;.gz281;.gz282;.gz283;.gz284;.gz285;.gz286;.gz287;.gz288;.gz289;.gz290;.gz291;.gz292;.gz293;.gz294;.gz295;.gz296;.gz297;.gz298;.gz299;.gz300;.gz301;.gz302;.gz303;.gz304;.gz305;.gz306;.gz307;.gz308;.gz309;.gz310;.gz311;.gz312;.gz313;.gz314;.gz315;.gz316;.gz317;.gz318;.gz319;.gz320;.gz321;.gz322;.gz323;.gz324;.gz325;.gz326;.gz327;.gz328;.gz329;.gz330;.gz331;.gz332;.gz333;.gz334;.gz335;.gz336;.gz337;.gz338;.gz339;.gz340;.gz341;.gz342;.gz343;.gz344;.gz345;.gz346;.gz347;.gz348;.gz349;.gz350;.gz351;.gz352;.gz353;.gz354;.gz355;.gz356;.gz357;.gz358;.gz359;.gz360;.gz361;.gz362;.gz363;.gz364;.gz365;.gz366;.gz367;.gz368;.gz369;.gz370;.gz371;.gz372;.gz373;.gz374;.gz375;.gz376;.gz377;.gz378;.gz379;.gz380;.gz381;.gz382;.gz383;.gz384;.gz385;.gz386;.gz387;.gz388;.gz389;.gz390;.gz391;.gz392;.gz393;.gz394;.gz395;.gz396;.gz397;.gz398;.gz399;.gz400;.gz401;.gz402;.gz403;.gz404;.gz405;.jsonl;.md;.parquet
Crownelius/Complete-FABLE.5-traces-2M,True,native,.gitattributes;.md;.parquet
SupraLabs/reasoning-corpus-4K-5M-v1,True,auto_converted,.gitattributes;.jsonl;.md
wikimedia/wikipedia,True,native,.gitattributes;.md;.parquet
