dataset_id,hf_language_tag,total_config_count,configs_sample,exact_match,script_suffixed_matches,has_per_language_config,likely_single_default_config
lbourdois/language_tags,aaa,1,language,False,,False,False
lbourdois/panlex,aaa,1,panlex,False,,False,True
espnet/mms_ulab_v2,aaa,1,default,False,,False,True
openbmb/DCAD-2000,aaa,2262,tha_Thai;aze_Latn;arb_Arab;slv_Latn;cat_Latn;fin_Latn;hbs_Latn;ces_Latn;fil_Latn;guj_Gujr;nob_Latn;mal_Mlym;bul_Cyrl;kan_Knda;hin_Deva,False,aaa_Latn,True,False
amine-khelif/mms_ulab_v2,aaa,1,default,False,,False,True
coml/mmsulab,aaa,3,default;excluded;all,False,,False,False
sundram1996/mms_ulab_v2,aaa,1,default,False,,False,True
lbourdois/language_tags,aab,1,language,False,,False,False
lbourdois/panlex,aab,1,panlex,False,,False,True
espnet/mms_ulab_v2,aab,1,default,False,,False,True
ec5ug/chikhapo,aab,5506,nna_eng;crs_eng;dnr_eng;bys_eng;kmw_eng;ldn_eng;hay_eng;kgp_eng;byr_eng;cub_eng;ruf_eng;ndg_eng;amt_eng;bcq_eng;bmi_eng,False,aab_eng,True,False
amine-khelif/mms_ulab_v2,aab,1,default,False,,False,True
coml/mmsulab,aab,3,default;excluded;all,False,,False,False
sundram1996/mms_ulab_v2,aab,1,default,False,,False,True
lbourdois/language_tags,aac,1,language,False,,False,False
lbourdois/panlex,aac,1,panlex,False,,False,True
espnet/mms_ulab_v2,aac,1,default,False,,False,True
ec5ug/chikhapo,aac,5506,nna_eng;crs_eng;dnr_eng;bys_eng;kmw_eng;ldn_eng;hay_eng;kgp_eng;byr_eng;cub_eng;ruf_eng;ndg_eng;amt_eng;bcq_eng;bmi_eng,False,aac_eng,True,False
amine-khelif/mms_ulab_v2,aac,1,default,False,,False,True
coml/mmsulab,aac,3,default;excluded;all,False,,False,False
sundram1996/mms_ulab_v2,aac,1,default,False,,False,True
lbourdois/language_tags,aad,1,language,False,,False,False
lbourdois/panlex,aad,1,panlex,False,,False,True
espnet/mms_ulab_v2,aad,1,default,False,,False,True
amine-khelif/mms_ulab_v2,aad,1,default,False,,False,True
coml/mmsulab,aad,3,default;excluded;all,False,,False,False
sundram1996/mms_ulab_v2,aad,1,default,False,,False,True
lbourdois/language_tags,aae,1,language,False,,False,False
lbourdois/panlex,aae,1,panlex,False,,False,True
